English,
car,ماشین
use,استفاده کنید
mind,فکر
maybe,شاید
has,داشتن
heard,شنیده کردن
answer,پاسخ
minute,دقیقه
yes,آره
until,تا زمان
both,هر دو
found,پیدا کردن
end,پایان
small,کم اهمیت
I'd,شناسه
word,کلمه
someone,کسی
same,یکسان
enough,کافی
began,شروع کردن
run,اجرا کن
bit,بیت
sigh,آه
each,هر یک
those,آنها
almost,تقریبا
against,در برابر
everything,همه چيز
most,اکثر
thank,تشکر
wouldn't,نه
mom,مادر
better,بهتر
play,بازی
I've,من داشتم
own,خود
every,هر
hard,سخت
remember,یاد آوردن
three,سه
stood,ایستاده
live,زنده
stand,ایستادن
second,دومین
sorry,متاسف
keep,نگاه داشتن
finally,سرانجام
point,نقطه
gave,داد
already,قبلا، پیش از این
actually,در حقیقت
probably,شاید
himself,خودش
big,بزرگ
everyone,هر کس
guess,حدس بزن
lot,بخش
step,گام
hey,سلام
hear,شنیدن
light,سبک
quickly,به سرعت
dad,پدر
kiss,بوسه
black,سیاه
pick,انتخاب
else,دیگر
soon,به زودی
shoulder,شانه
table,جدول
best,بهترین
without,بدون
notice,اطلاع
stay,اقامت کردن
care,اهميت دادن
phone,تلفن
reach,رسیدن
realize,پی بردن
follow,دنبال کردن
decide,تصميم گرفتن
kind,نوع
she's,او هست
grab,گرفتن
he'd,او
show,نشان دادن
inside,داخل
suddenly,ناگهان
father,پدر
rest,باقی مانده
herself,خودش
grin,پوزخند
hour,یک ساعت
hope,امید
also,همچنین
body,بدنه
might,ممکن
hadn't,نه
floor,کف
its,آن را
continue,ادامه هید
ran,فرار کردن
across,در میان
hold,نگه داشتن
cry,گریه کردن
half,نیم
pretty,بسیار
great,عالی
course,دوره
mouth,دهان
class,طبقه
kid,بچه
miss,از دست دادن
wonder,تعجب
morning,صبح
least,کمترین
nice,خوب
dark,تاریک
slowly,به آرامی
done,انجام شده
change,تغییر دادن
doesn't,نمی کند
together,با یکدیگر
yet,هنوز
question,پرسش
anyway,به هر حال
bad,بد
blue,آبی
believe,ایمان داشتن
week,هفته
God,خداوند
lip,لب
Mr.,آقای.
sleep,خواب
fine,خوب
what's,چه
family,خانواده
many,زیاد
worry,نگران بودن
roll,غلتک
parent,والدین
under,زیر
surprise,تعجب
water,اب
onto,به سوی
we're,بود
glance,نگاه
wall,دیوار
between,بین
seen,مشاهده گردید
read,خواندن
window,پنجره
idea,اندیشه
white,سفید
push,فشار دادن
feet,پا
must,باید
such,چنین
seat,جایگاه
set,تنظیم
please,لطفا
red,قرمز
brother,برادر
these,اینها
whole,تمام
lean,تکیه دادن
part,بخش
person,شخص
slightly,اندکی
pass,عبور
shook,لرزیدن
fact,حقیقت
wrong,اشتباه
gone,رفته
far,دور
hit,اصابت
finger,انگشت
quite,کاملا
hate,نفرت
meet,ملاقات
finish,پایان
heart,قلب
book,کتاب
past,گذشته
kill,کشتن
reason,دلیل
anyone,هر کسی
figure,شکل
top,بالا
along,در امتداد
world,جهان
she'd,دهنه
high,عالی
shirt,پیراهن
does,میکند
today,امروز
young,جوان
held,برگزار شد
outside,خارج از
listen,گوش بده
whisper,نجوا
won't,نمی گواند
happy,خوشحال
ground,زمین
deep,عمیق
drop,افت
shrug,تازیانه
dress,لباس
fell,سقوط
there's,وجود دارد
yell,فریاد زدن
breath,نفس
air,هوا
tear,اشک
sister,خواهر
chair,صندلی
kitchen,آشپزخانه
matter,موضوع
hurt,صدمه
fall,سقوط
wear,پوشیدن
isn't,نیست
woman,زن
eat,خوردن
lie,دروغ
hell,جهنم
suppose,فرض کردن
cover,پوشش
couple,زن و شوهر
large,بزرگ
either,هر یک
five,پنج
leg,پا
jump,پرش
die,مردن
return,برگشت
able,قادر
bag,کیسه
alone,تنها
shut,تعطیل شدن
stuff,چیز
short,کوتاه
ready,آماده
understand,فهمیدن
kept,نگهدار
plan,طرح
raise,بالا بردن
street,خیابان
different,ناهمسان
problem,مسئله
break,زنگ تفريح
line,خط
early,زود
cut,برش
cold,سرد
paper,کاغذ
scream,فریاد
instead,بجای
stupid,احمق
silence,سکوت
tree,درخت
caught,گرفتار
ear,گوش
food,غذا
full,پر شده
four,چهار
cause,علت
fuck,لعنت کردن
explain,توضیح
expect,انتظار
fight,مبارزه کردن
exactly,دقیقا
sort,مرتب سازی
completely,به صورت کامل
men,مردان
dance,رقص
met,ملاقات کرد
story,داستان
whatever,هر چه
build,ساختن
speak,صحبت
glass,شیشه
pain,درد
check,بررسی
glare,تابش خیره کننده
corner,گوشه
Mrs.,خانم
chest,قفسه سینه
hot,گرم
rather,نسبتا
month,ماه
real,واقعی
touch,دست زدن به
park,پارک کردن
bring,ادا کردن
they're,آنها
drink,نوشیدن
ago,پیش
force,زور
you've,شما
fast,سریع
lost,گمشده
attention,توجه
wish,آرزو کردن
mark,علامت
wave,موج
shout,فریاد
fill,پر کردن
begin,شروع
baby,عزیزم
interest,علاقه
money,پول
fun,سرگرم کردن
green,سبز
however,با این حال
cheek,گونه
mine,مال خودم
clear,پاک کردن
brown,رنگ قهوه ای
forward,رو به جلو
near,نزدیک
picture,تصویر
may,ممکن است
cool,سرد
drive,راندن
hug,در آغوش گرفتن
shake,تکان دادن
sense,احساس، مفهوم
alright,بسيار خوب
you'll,شما
dream,رویا
hang,آویزان شدن
clothes,لباس ها
act,عمل
become,تبدیل شدن
manage,مدیریت کردن
meant,منظور
game,بازی
ignore,چشم پوشی
stair,پله
taken,گرفته شده
party,مهمانی - جشن
add,اضافه کردن
sometimes,گاهی
job,کار
ten,ده
shot,شلیک شده
date,تاریخ
quiet,ساکت
gaze,خیره شدن
group,گروه
loud,بلند
straight,سر راست
dead,مرده
neck,گردن
beside,در كنار
pause,مکث
number,عدد
conversation,گفتگو
chance,شانس. فرصت
we'll,خوب
rose,گل سرخ
quietly,بی سر و صدا
town,شهر
blood,خون
color,رنگ
desk,میز مطالعه
dinner,شام
hall,سالن
horse,اسب
music,موسیقی
